shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.6007815 41.1532733, -8.5997196 41.1532952)",25632427,25632466,34614186,True,88.94
"LINESTRING (-8.6007815 41.1532733, -8.600874 41.1527505, -8.6011274 41.1514117, -8.6011448 41.151319, -8.6011461 41.1512304, -8.6011443 41.151124, -8.6011373 41.1510477)",25632427,25632428,350915448,True,249.616
"LINESTRING (-8.6011373 41.1510477, -8.6012247 41.1510462, -8.6021102 41.1510164, -8.6022297 41.1510098)",25632428,25632423,252526955,True,91.567
"LINESTRING (-8.600131 41.1510849, -8.6002142 41.1510791, -8.6003165 41.151072, -8.6004777 41.1510638, -8.6011373 41.1510477)",25632429,25632428,252526955,True,84.382
"LINESTRING (-8.600131 41.1510849, -8.600191 41.1507577, -8.6002415 41.1505026)",25632429,126647309,350915450,True,65.407
"LINESTRING (-8.6020829 41.1489819, -8.6021532 41.1499717, -8.6021968 41.1505977, -8.602225 41.1509383, -8.6022297 41.1510098)",25632432,25632423,8367160,True,225.829
"LINESTRING (-8.6020829 41.1489819, -8.6031168 41.149187, -8.6031713 41.1491982)",25632432,25632433,14328446,True,94.25200000000001
"LINESTRING (-8.6031713 41.1491982, -8.6040064 41.1493719, -8.6041093 41.1493955)",25632433,25632412,14328446,True,81.548
"LINESTRING (-8.6019062 41.1489481, -8.6020829 41.1489819)",25632438,25632432,1016548265,True,15.265
"LINESTRING (-8.6047458 41.1536304, -8.604695 41.1548147)",25632446,25632447,252526954,False,131.757
"LINESTRING (-8.6047458 41.1536304, -8.6047782 41.1535564, -8.6048056 41.1535394, -8.6048512 41.1535301, -8.605286 41.153536, -8.6054379 41.153538)",25632446,1887601134,38336634,True,64.721
"LINESTRING (-8.604695 41.1548147, -8.6047458 41.1536304)",25632447,25632446,252526954,False,131.757
"LINESTRING (-8.604695 41.1548147, -8.6046934 41.1548856, -8.6046039 41.1566451)",25632447,501225889,34597437,False,203.676
"LINESTRING (-8.6030152 41.1545708, -8.6031238 41.1546047, -8.6045925 41.15478, -8.604695 41.1548147)",25632449,25632447,8367154,True,143.75099999999998
"LINESTRING (-8.6030152 41.1545708, -8.6031212 41.1542775, -8.6034373 41.1534803, -8.6035241 41.1532611)",25632449,25632425,1017147076,True,151.744
"LINESTRING (-8.605549 41.1551062, -8.6055922 41.1550622, -8.6057815 41.1548264, -8.6058273 41.1547476, -8.6059339 41.1544936, -8.6059704 41.1544163, -8.6060052 41.1543219, -8.606061 41.1542332, -8.6062122 41.153958, -8.6062335 41.1538976, -8.606231 41.1536531, -8.6062294 41.1535512)",25632450,25632454,8367153,True,185.42000000000002
"LINESTRING (-8.605549 41.1551062, -8.6055017 41.1550766, -8.604695 41.1548147)",25632450,25632447,35111843,True,78.699
"LINESTRING (-8.6062294 41.1535512, -8.6063125 41.1535009, -8.6063608 41.153459)",25632454,4685392590,304688481,True,15.096
"LINESTRING (-8.6062294 41.1535512, -8.6078433 41.1535827, -8.6079375 41.1535829)",25632454,129550851,738996910,True,143.055
"LINESTRING (-8.6026294 41.155553, -8.6027794 41.1551569)",25632463,4077112088,8367118,True,45.8
"LINESTRING (-8.6026294 41.155553, -8.6025887 41.1556541, -8.6024885 41.1559069, -8.6021954 41.1566361, -8.6019875 41.1571641)",25632463,138197779,453762039,False,187.034
"LINESTRING (-8.5997196 41.1532952, -8.5996218 41.1532331, -8.599575 41.1532023, -8.5995099 41.1531727, -8.5990823 41.1530352, -8.5983095 41.1528177, -8.5975401 41.1526012, -8.5974968 41.1525888, -8.5974466 41.1525745)",25632466,2053571406,167487390,True,207.42899999999997
"LINESTRING (-8.5997196 41.1532952, -8.5999945 41.1517517, -8.600005 41.1516924)",25632466,2053571360,350915450,True,179.81799999999998
"LINESTRING (-8.5994778 41.1545295, -8.5997196 41.1532952)",25632521,25632466,899748480,True,138.733
"LINESTRING (-8.586275 41.1667121, -8.585881 41.1666361, -8.5852376 41.166587, -8.5846706 41.1665489, -8.5844575 41.1665245, -8.5842759 41.1664861, -8.5840123 41.1664215, -8.5837625 41.1663314, -8.5835683 41.166241)",26015872,25507552,"[480146192, 480148052, 480146191]",True,235.167
"LINESTRING (-8.5938865 41.1713532, -8.5940381 41.1714805, -8.5941417 41.1715624, -8.5942603 41.1716624, -8.5943635 41.1717636, -8.5944543 41.1718668, -8.5945333 41.1719766, -8.5946042 41.1720893, -8.5946587 41.1722099, -8.5947057 41.1723312, -8.5947399 41.1724562, -8.5947587 41.1725804, -8.5947669 41.1727068, -8.5947608 41.1728654, -8.5947195 41.1731101)",26015879,26122713,4259343,True,217.64100000000002
"LINESTRING (-8.5938865 41.1713532, -8.5942438 41.1715311, -8.5945238 41.1716668, -8.5948342 41.1717775, -8.595151 41.1718512, -8.5953139 41.1718772, -8.5954794 41.1718939, -8.5958202 41.1719027, -8.59615 41.1718873, -8.5962995 41.1718764, -8.5964826 41.171863, -8.5967824 41.1718256, -8.5970968 41.1717841)",26015879,26015889,478882418,True,284.471
"LINESTRING (-8.5970968 41.1717841, -8.5972761 41.1717442, -8.5976502 41.1716611, -8.5984665 41.171497, -8.5990121 41.1713899, -8.5996552 41.17129, -8.5999122 41.1712674, -8.6002377 41.1712524, -8.6002844 41.1712502, -8.6005164 41.1712527, -8.6008317 41.1712629)",26015889,3092764704,"[478882413, 478882414, 478882415, 478882416, 478882417]",True,319.88199999999995
"LINESTRING (-8.5980825 41.1714553, -8.5975946 41.1714676, -8.5974617 41.1714666, -8.5973448 41.1714524, -8.5972625 41.1714317, -8.597189 41.1714034, -8.5971217 41.1713693, -8.5970598 41.1713264, -8.5970031 41.1712801, -8.5969539 41.1712318, -8.5969081 41.1711811, -8.5968096 41.1710793, -8.5967547 41.1710353, -8.5966923 41.1709944, -8.5966209 41.1709653, -8.5965435 41.1709424, -8.5964641 41.170931, -8.5963828 41.1709249, -8.5962944 41.1709321, -8.5962091 41.1709463, -8.596127 41.1709757, -8.596047 41.1710149, -8.5959879 41.1710561, -8.5959329 41.1711002, -8.5958815 41.1711507, -8.5958336 41.1712024, -8.5957413 41.1713111, -8.595653 41.1714192, -8.5955452 41.1715535, -8.5954147 41.1717461, -8.5953445 41.1718573, -8.5952784 41.1719747, -8.595221 41.1720805, -8.5951136 41.1723135, -8.5949531 41.1726805, -8.5948586 41.1728652, -8.5947195 41.1731101)",26015892,26122713,"[29036513, 345566834, 4259341, 367461726]",True,455.93100000000004
"LINESTRING (-8.5980825 41.1714553, -8.5976016 41.171549, -8.5971127 41.1716434, -8.5967867 41.1717033, -8.5963197 41.1717708)",26015892,3092764693,345566829,True,151.715
"LINESTRING (-8.6187612 41.1737099, -8.6170284 41.1738986, -8.6156709 41.174086, -8.6143873 41.1743083, -8.6140302 41.1743728, -8.6136031 41.1744194, -8.6131713 41.1744444, -8.6127242 41.1744467, -8.6122417 41.1744198, -8.6117545 41.1743715, -8.6113088 41.174325, -8.6112907 41.1743231, -8.6108274 41.1742758, -8.6103421 41.1741747, -8.6100682 41.1741101)",26015928,128577519,"[479365564, 13797813, 453274470]",True,738.943
"LINESTRING (-8.6187612 41.1737099, -8.6179785 41.1737008, -8.6170037 41.1737785)",26015928,411831032,480083544,True,147.56400000000002
