osmid,shape
126401368,POINT(-8.6454697 41.1573769)
126401370,POINT(-8.6455537 41.1576099)
126404025,POINT(-8.6452777 41.1576251)
126404027,POINT(-8.6452239 41.1578684)
126404031,POINT(-8.6452239 41.1579492)
126410483,POINT(-8.6451306 41.1582609)
126411674,POINT(-8.6480752 41.159638)
126411675,POINT(-8.6474427 41.1589957)
126542182,POINT(-8.6500167 41.1597645)
126542188,POINT(-8.6483137 41.1590659)
126543210,POINT(-8.6490693 41.1601343)
126544301,POINT(-8.64944 41.1581908)
126544304,POINT(-8.6494794 41.1584634)
126547500,POINT(-8.6501374 41.1601103)
126554316,POINT(-8.6485732 41.1564243)
126580298,POINT(-8.64829 41.1644214)
126580303,POINT(-8.6491665 41.1644132)
126580884,POINT(-8.6475889 41.1644474)
126581609,POINT(-8.6489068 41.164332)
126581622,POINT(-8.6485605 41.1637503)
126582697,POINT(-8.6494904 41.1632676)
126583944,POINT(-8.649894 41.1616708)
126592365,POINT(-8.6264841 41.1666769)
126597343,POINT(-8.6325164 41.1620091)
126597726,POINT(-8.62909 41.1636071)
126598827,POINT(-8.6274598 41.1635081)
126600950,POINT(-8.6248028 41.1633519)
126600959,POINT(-8.6208599 41.1627307)
126604779,POINT(-8.6278359 41.1758929)
126604780,POINT(-8.6276431 41.1751065)
126604783,POINT(-8.6267046 41.1732552)
126604785,POINT(-8.6254713 41.1684558)
126604789,POINT(-8.624661 41.1598804)
126608577,POINT(-8.6256211 41.1691499)
126617351,POINT(-8.6044477 41.1603666)
126617352,POINT(-8.6027699 41.1598906)
126617354,POINT(-8.6010628 41.1594394)
126617427,POINT(-8.6164669 41.1623639)
126617428,POINT(-8.6113729 41.161721)
126617430,POINT(-8.6095973 41.1614656)
126617431,POINT(-8.607491 41.1610402)
126617433,POINT(-8.6052113 41.1605885)
126634476,POINT(-8.6040169 41.1618277)
126638962,POINT(-8.5946309 41.1563482)
126646458,POINT(-8.6004404 41.1494046)
126647309,POINT(-8.6002415 41.1505026)
128560274,POINT(-8.6122303 41.1580559)
128560275,POINT(-8.6126514 41.1573409)
128560419,POINT(-8.614101 41.1776249)
128560421,POINT(-8.6140974 41.1763742)
128560423,POINT(-8.6138847 41.1757348)
128560426,POINT(-8.6136855 41.1750581)
128560429,POINT(-8.6132806 41.1740298)
128560437,POINT(-8.6128402 41.1710753)
128560439,POINT(-8.6129333 41.170369)
128560446,POINT(-8.6117522 41.167014)
128560448,POINT(-8.6109795 41.1649768)
128566335,POINT(-8.6127436 41.1718292)
128571476,POINT(-8.6126689 41.1748058)
128573633,POINT(-8.6141709 41.1746525)
128575853,POINT(-8.6140041 41.1741811)
128577510,POINT(-8.6127512 41.1742225)
128577519,POINT(-8.6100682 41.1741101)
128578706,POINT(-8.6057642 41.1714409)
128579264,POINT(-8.6074554 41.1730101)
128579825,POINT(-8.6069436 41.1728529)
128580161,POINT(-8.6056814 41.1731625)
128581937,POINT(-8.6053176 41.1725805)
128583756,POINT(-8.6039516 41.1713109)
128583855,POINT(-8.6029104 41.1713619)
128586501,POINT(-8.604757 41.1721787)
128587416,POINT(-8.6031044 41.1717809)
128588858,POINT(-8.6043711 41.1725769)
128597080,POINT(-8.6058176 41.1736115)
128616477,POINT(-8.6136826 41.1747962)
128616478,POINT(-8.6134644 41.1742324)
128617100,POINT(-8.6133064 41.1742443)
128617101,POINT(-8.6135149 41.1748731)
128651490,POINT(-8.5821775 41.1803973)
128651494,POINT(-8.5818418 41.1802754)
128655622,POINT(-8.5705712 41.1666721)
128655623,POINT(-8.5706385 41.166486)
128655624,POINT(-8.570706 41.1658931)
128655625,POINT(-8.5712544 41.1648696)
128655629,POINT(-8.5728588 41.1631607)
