shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.5444052 41.135021, -8.544536000000001 41.1348767, -8.5448415 41.1346777, -8.545110599999999 41.1345754, -8.545675900000001 41.1343341, -8.546236499999999 41.1341106)",314542512,314542550,128432064,False,186.03900000000002
"LINESTRING (-8.5412594 41.1339994, -8.541689999999999 41.1343423, -8.541863899999999 41.134417)",314542514,2410528137,28618047,False,69.247
"LINESTRING (-8.5412594 41.1339994, -8.5411693 41.1338455, -8.5411632 41.1337304, -8.541194300000001 41.1336165, -8.5412508 41.1335225)",314542514,314542569,28618049,True,55.916
"LINESTRING (-8.5412594 41.1339994, -8.5411497 41.1339102, -8.541001100000001 41.133818, -8.5409659 41.1338037, -8.5409053 41.1337964)",314542514,1419379859,698915487,True,38.132999999999996
"LINESTRING (-8.54204 41.1344927, -8.542269 41.1345951)",314542518,3475356705,28618047,False,22.304
"LINESTRING (-8.54204 41.1344927, -8.5418639 41.134417)",314542518,2410528137,28618047,False,16.981
"LINESTRING (-8.5428665 41.1348625, -8.542608 41.1347496)",314542520,5261227668,28618047,False,25.025
"LINESTRING (-8.5428665 41.1348625, -8.5433651 41.1341102)",314542520,2409041483,232559077,False,93.495
"LINESTRING (-8.542866500000001 41.1348625, -8.543457099999999 41.1349499, -8.5435921 41.1349448)",314542520,2409041500,28618047,False,61.727
"LINESTRING (-8.5464628 41.1360084, -8.546222 41.1358526)",314542526,314542549,28618047,False,26.586
"LINESTRING (-8.5464628 41.1360084, -8.5464988 41.1360695, -8.5462367 41.1368354, -8.5463708 41.1372637, -8.5466712 41.1376394)",314542526,1327527088,117939910,False,193.07699999999997
"LINESTRING (-8.5464628 41.1360084, -8.5470297 41.1358287, -8.5473892 41.1355182)",314542526,314542530,724721984,False,97.31899999999999
"LINESTRING (-8.5473892 41.1355182, -8.5473021 41.1351701)",314542530,314542533,28618042,False,39.388
"LINESTRING (-8.5473892 41.1355182, -8.5476762 41.1356013)",314542530,314542531,724721984,False,25.75
"LINESTRING (-8.5473892 41.1355182, -8.5470297 41.1358287, -8.5464628 41.1360084)",314542530,314542526,724721984,False,97.31899999999999
"LINESTRING (-8.5476762 41.1356013, -8.5473892 41.1355182)",314542531,314542530,724721984,False,25.75
"LINESTRING (-8.5473021 41.1351701, -8.5473892 41.1355182)",314542533,314542530,28618042,False,39.388
"LINESTRING (-8.5473021 41.1351701, -8.5477536 41.1351083)",314542533,314542559,28618045,False,38.431
"LINESTRING (-8.5473021 41.1351701, -8.5472137 41.135069, -8.5470424 41.1348776, -8.5468767 41.1348563)",314542533,314542539,28618042,False,53.205
"LINESTRING (-8.5468767 41.1348563, -8.5470424 41.1348776, -8.5472137 41.135069, -8.5473021 41.1351701)",314542539,314542533,28618042,False,53.205
"LINESTRING (-8.5468767 41.1348563, -8.546749800000001 41.1350195, -8.5464567 41.1352211, -8.546309000000001 41.1357439, -8.546222 41.1358526)",314542539,314542549,28618043,False,127.81899999999999
"LINESTRING (-8.5468767 41.1348563, -8.5467671 41.1346999, -8.5466654 41.1346053, -8.5464942 41.1345036, -8.5463714 41.1343646, -8.546236499999999 41.1341106)",314542539,314542550,28618044,False,100.445
"LINESTRING (-8.546222 41.1358526, -8.5464628 41.1360084)",314542549,314542526,28618047,False,26.586
"LINESTRING (-8.546222 41.1358526, -8.546309000000001 41.1357439, -8.5464567 41.1352211, -8.546749800000001 41.1350195, -8.5468767 41.1348563)",314542549,314542539,28618043,False,127.81899999999999
"LINESTRING (-8.546222 41.1358526, -8.5449111 41.1352917, -8.5444052 41.135021)",314542549,314542512,28618047,False,178.236
"LINESTRING (-8.546236499999999 41.1341106, -8.5463714 41.1343646, -8.5464942 41.1345036, -8.5466654 41.1346053, -8.5467671 41.1346999, -8.5468767 41.1348563)",314542550,314542539,28618044,False,100.445
